Plate           	Well	Group	Type   	Sample     	Wavelength	Abs  	Meas. Time [s]
T5.2_screen_expt	 G08	Assay	Unknown	Un_0119 1/1	620       	0.146	3.970         
T5.2_screen_expt	 H08	Assay	Unknown	Un_0120 1/1	620       	0.145	4.580         
T5.2_screen_expt	 I08	Assay	Unknown	Un_0121 1/1	620       	0.136	5.270         
T5.2_screen_expt	 J08	Assay	Unknown	Un_0122 1/1	620       	0.136	5.880         
T5.2_screen_expt	 K08	Assay	Unknown	Un_0123 1/1	620       	0.132	6.570         
T5.2_screen_expt	 L08	Assay	Unknown	Un_0124 1/1	620       	0.131	7.180         
T5.2_screen_expt	 M08	Assay	Unknown	Un_0125 1/1	620       	0.135	7.870         
T5.2_screen_expt	 N08	Assay	Unknown	Un_0126 1/1	620       	0.129	8.480         
T5.2_screen_expt	 O08	Assay	Unknown	Un_0127 1/1	620       	0.140	9.170         
T5.2_screen_expt	 P08	Assay	Unknown	Un_0128 1/1	620       	0.038	9.780         
T5.2_screen_expt	 A09	Assay	Unknown	Un_0129 1/1	620       	0.038	0.090         
T5.2_screen_expt	 B09	Assay	Unknown	Un_0130 1/1	620       	0.139	0.670         
T5.2_screen_expt	 C09	Assay	Unknown	Un_0131 1/1	620       	0.149	1.380         
T5.2_screen_expt	 D09	Assay	Unknown	Un_0132 1/1	620       	0.130	1.960         
T5.2_screen_expt	 E09	Assay	Unknown	Un_0133 1/1	620       	0.138	2.680         
T5.2_screen_expt	 F09	Assay	Unknown	Un_0134 1/1	620       	0.143	3.270         
T5.2_screen_expt	 G09	Assay	Unknown	Un_0135 1/1	620       	0.136	3.980         
T5.2_screen_expt	 H09	Assay	Unknown	Un_0136 1/1	620       	0.138	4.570         
T5.2_screen_expt	 I09	Assay	Unknown	Un_0137 1/1	620       	0.139	5.280         
T5.2_screen_expt	 J09	Assay	Unknown	Un_0138 1/1	620       	0.124	5.870         
T5.2_screen_expt	 K09	Assay	Unknown	Un_0139 1/1	620       	0.042	6.580         
T5.2_screen_expt	 L09	Assay	Unknown	Un_0140 1/1	620       	0.126	7.170         
T5.2_screen_expt	 M09	Assay	Unknown	Un_0141 1/1	620       	0.041	7.880         
T5.2_screen_expt	 N09	Assay	Unknown	Un_0142 1/1	620       	0.319	8.470         
T5.2_screen_expt	 O09	Assay	Unknown	Un_0143 1/1	620       	0.323	9.180         
T5.2_screen_expt	 P09	Assay	Unknown	Un_0144 1/1	620       	0.037	9.770         
T5.2_screen_expt	 A10	Assay	Unknown	Un_0145 1/1	620       	0.038	0.100         
T5.2_screen_expt	 B10	Assay	Unknown	Un_0146 1/1	620       	0.146	0.660         
T5.2_screen_expt	 C10	Assay	Unknown	Un_0147 1/1	620       	0.119	1.390         
T5.2_screen_expt	 D10	Assay	Unknown	Un_0148 1/1	620       	0.129	1.950         
T5.2_screen_expt	 E10	Assay	Unknown	Un_0149 1/1	620       	0.100	2.690         
T5.2_screen_expt	 F10	Assay	Unknown	Un_0150 1/1	620       	0.081	3.260         
T5.2_screen_expt	 G10	Assay	Unknown	Un_0151 1/1	620       	0.080	3.990         
T5.2_screen_expt	 H10	Assay	Unknown	Un_0152 1/1	620       	0.055	4.550         
T5.2_screen_expt	 I10	Assay	Unknown	Un_0153 1/1	620       	0.148	5.290         
T5.2_screen_expt	 J10	Assay	Unknown	Un_0154 1/1	620       	0.141	5.860         
T5.2_screen_expt	 K10	Assay	Unknown	Un_0155 1/1	620       	0.141	6.590         
T5.2_screen_expt	 L10	Assay	Unknown	Un_0156 1/1	620       	0.133	7.160         
T5.2_screen_expt	 M10	Assay	Unknown	Un_0157 1/1	620       	0.130	7.890         
T5.2_screen_expt	 N10	Assay	Unknown	Un_0158 1/1	620       	0.115	8.460         
T5.2_screen_expt	 O10	Assay	Unknown	Un_0159 1/1	620       	0.137	9.190         
T5.2_screen_expt	 P10	Assay	Unknown	Un_0160 1/1	620       	0.038	9.760         
T5.2_screen_expt	 A11	Assay	Unknown	Un_0161 1/1	620       	0.038	0.110         
T5.2_screen_expt	 B11	Assay	Unknown	Un_0162 1/1	620       	0.151	0.650         
T5.2_screen_expt	 C11	Assay	Unknown	Un_0163 1/1	620       	0.119	1.400         
T5.2_screen_expt	 D11	Assay	Unknown	Un_0164 1/1	620       	0.122	1.940         
T5.2_screen_expt	 E11	Assay	Unknown	Un_0165 1/1	620       	0.139	2.700         
T5.2_screen_expt	 F11	Assay	Unknown	Un_0166 1/1	620       	0.143	3.250         
T5.2_screen_expt	 G11	Assay	Unknown	Un_0167 1/1	620       	0.075	4.000         
T5.2_screen_expt	 H11	Assay	Unknown	Un_0168 1/1	620       	0.114	4.540         
T5.2_screen_expt	 I11	Assay	Unknown	Un_0169 1/1	620       	0.067	5.300         
T5.2_screen_expt	 J11	Assay	Unknown	Un_0170 1/1	620       	0.094	5.840         
T5.2_screen_expt	 K11	Assay	Unknown	Un_0171 1/1	620       	0.099	6.600         
T5.2_screen_expt	 L11	Assay	Unknown	Un_0172 1/1	620       	0.106	7.150         
T5.2_screen_expt	 M11	Assay	Unknown	Un_0173 1/1	620       	0.138	7.900         
T5.2_screen_expt	 N11	Assay	Unknown	Un_0174 1/1	620       	0.131	8.450         
T5.2_screen_expt	 O11	Assay	Unknown	Un_0175 1/1	620       	0.145	9.200         
T5.2_screen_expt	 P11	Assay	Unknown	Un_0176 1/1	620       	0.039	9.750         
T5.2_screen_expt	 A12	Assay	Unknown	Un_0177 1/1	620       	0.038	0.120         
T5.2_screen_expt	 B12	Assay	Unknown	Un_0178 1/1	620       	0.149	0.640         
T5.2_screen_expt	 C12	Assay	Unknown	Un_0179 1/1	620       	0.133	1.410         
T5.2_screen_expt	 D12	Assay	Unknown	Un_0180 1/1	620       	0.131	1.930         
T5.2_screen_expt	 E12	Assay	Unknown	Un_0181 1/1	620       	0.131	2.710         
T5.2_screen_expt	 F12	Assay	Unknown	Un_0182 1/1	620       	0.124	3.240         
T5.2_screen_expt	 G12	Assay	Unknown	Un_0183 1/1	620       	0.122	4.010         
T5.2_screen_expt	 H12	Assay	Unknown	Un_0184 1/1	620       	0.124	4.530         
T5.2_screen_expt	 I12	Assay	Unknown	Un_0185 1/1	620       	0.145	5.310         
T5.2_screen_expt	 J12	Assay	Unknown	Un_0186 1/1	620       	0.137	5.830         
T5.2_screen_expt	 K12	Assay	Unknown	Un_0187 1/1	620       	0.131	6.610         
T5.2_screen_expt	 L12	Assay	Unknown	Un_0188 1/1	620       	0.125	7.140         
T5.2_screen_expt	 M12	Assay	Unknown	Un_0189 1/1	620       	0.120	7.910         
T5.2_screen_expt	 N12	Assay	Unknown	Un_0190 1/1	620       	0.116	8.440         
T5.2_screen_expt	 O12	Assay	Unknown	Un_0191 1/1	620       	0.133	9.210         
T5.2_screen_expt	 P12	Assay	Unknown	Un_0192 1/1	620       	0.038	9.740         
T5.2_screen_expt	 A13	Assay	Unknown	Un_0193 1/1	620       	0.038	0.130         
T5.2_screen_expt	 B13	Assay	Unknown	Un_0194 1/1	620       	0.145	0.630         
T5.2_screen_expt	 C13	Assay	Unknown	Un_0195 1/1	620       	0.115	1.420         
T5.2_screen_expt	 D13	Assay	Unknown	Un_0196 1/1	620       	0.135	1.920         
T5.2_screen_expt	 E13	Assay	Unknown	Un_0197 1/1	620       	0.139	2.720         
T5.2_screen_expt	 F13	Assay	Unknown	Un_0198 1/1	620       	0.137	3.230         
T5.2_screen_expt	 G13	Assay	Unknown	Un_0199 1/1	620       	0.129	4.020         
T5.2_screen_expt	 H13	Assay	Unknown	Un_0200 1/1	620       	0.130	4.520         
T5.2_screen_expt	 I13	Assay	Unknown	Un_0201 1/1	620       	0.090	5.320         
T5.2_screen_expt	 J13	Assay	Unknown	Un_0202 1/1	620       	0.124	5.820         
T5.2_screen_expt	 K13	Assay	Unknown	Un_0203 1/1	620       	0.126	6.620         
T5.2_screen_expt	 L13	Assay	Unknown	Un_0204 1/1	620       	0.124	7.120         
T5.2_screen_expt	 M13	Assay	Unknown	Un_0205 1/1	620       	0.132	7.920         
T5.2_screen_expt	 N13	Assay	Unknown	Un_0206 1/1	620       	0.130	8.430         
T5.2_screen_expt	 O13	Assay	Unknown	Un_0207 1/1	620       	0.041	9.220         
T5.2_screen_expt	 P13	Assay	Unknown	Un_0208 1/1	620       	0.037	9.730         
T5.2_screen_expt	 A14	Assay	Unknown	Un_0209 1/1	620       	0.038	0.140         
T5.2_screen_expt	 B14	Assay	Unknown	Un_0210 1/1	620       	0.131	0.620         
T5.2_screen_expt	 C14	Assay	Unknown	Un_0211 1/1	620       	0.140	1.430         
T5.2_screen_expt	 D14	Assay	Unknown	Un_0212 1/1	620       	0.136	1.910         
T5.2_screen_expt	 E14	Assay	Unknown	Un_0213 1/1	620       	0.134	2.730         
T5.2_screen_expt	 F14	Assay	Unknown	Un_0214 1/1	620       	0.137	3.220         
T5.2_screen_expt	 G14	Assay	Unknown	Un_0215 1/1	620       	0.139	4.030         
T5.2_screen_expt	 H14	Assay	Unknown	Un_0216 1/1	620       	0.135	4.510         
T5.2_screen_expt	 I14	Assay	Unknown	Un_0217 1/1	620       	0.135	5.330         
T5.2_screen_expt	 J14	Assay	Unknown	Un_0218 1/1	620       	0.122	5.810         
T5.2_screen_expt	 K14	Assay	Unknown	Un_0219 1/1	620       	0.041	6.630         
T5.2_screen_expt	 L14	Assay	Unknown	Un_0220 1/1	620       	0.127	7.110         
T5.2_screen_expt	 M14	Assay	Unknown	Un_0221 1/1	620       	0.041	7.930         
T5.2_screen_expt	 N14	Assay	Unknown	Un_0222 1/1	620       	0.342	8.420         
T5.2_screen_expt	 O14	Assay	Unknown	Un_0223 1/1	620       	0.338	9.230         
T5.2_screen_expt	 P14	Assay	Unknown	Un_0224 1/1	620       	0.037	9.720         
T5.2_screen_expt	 A15	Assay	Unknown	Un_0225 1/1	620       	0.038	0.150         
T5.2_screen_expt	 B15	Assay	Unknown	Un_0226 1/1	620       	0.145	0.610         
T5.2_screen_expt	 C15	Assay	Unknown	Un_0227 1/1	620       	0.122	1.440         
T5.2_screen_expt	 D15	Assay	Unknown	Un_0228 1/1	620       	0.129	1.900         
T5.2_screen_expt	 E15	Assay	Unknown	Un_0229 1/1	620       	0.145	2.740         
T5.2_screen_expt	 F15	Assay	Unknown	Un_0230 1/1	620       	0.144	3.210         
T5.2_screen_expt	 G15	Assay	Unknown	Un_0231 1/1	620       	0.079	4.040         
T5.2_screen_expt	 H15	Assay	Unknown	Un_0232 1/1	620       	0.122	4.500         
T5.2_screen_expt	 I15	Assay	Unknown	Un_0233 1/1	620       	0.070	5.340         
T5.2_screen_expt	 J15	Assay	Unknown	Un_0234 1/1	620       	0.120	5.800         
T5.2_screen_expt	 K15	Assay	Unknown	Un_0235 1/1	620       	0.118	6.640         
T5.2_screen_expt	 L15	Assay	Unknown	Un_0236 1/1	620       	0.118	7.100         
T5.2_screen_expt	 M15	Assay	Unknown	Un_0237 1/1	620       	0.139	7.940         
T5.2_screen_expt	 N15	Assay	Unknown	Un_0238 1/1	620       	0.130	8.410         
T5.2_screen_expt	 O15	Assay	Unknown	Un_0239 1/1	620       	0.138	9.240         
T5.2_screen_expt	 P15	Assay	Unknown	Un_0240 1/1	620       	0.038	9.710         
T5.2_screen_expt	 A16	Assay	Unknown	Un_0241 1/1	620       	0.039	0.160         
T5.2_screen_expt	 B16	Assay	Unknown	Un_0242 1/1	620       	0.140	0.600         
T5.2_screen_expt	 C16	Assay	Unknown	Un_0243 1/1	620       	0.118	1.450         
T5.2_screen_expt	 D16	Assay	Unknown	Un_0244 1/1	620       	0.125	1.890         
T5.2_screen_expt	 E16	Assay	Unknown	Un_0245 1/1	620       	0.087	2.750         
T5.2_screen_expt	 F16	Assay	Unknown	Un_0246 1/1	620       	0.065	3.200         
T5.2_screen_expt	 G16	Assay	Unknown	Un_0247 1/1	620       	0.086	4.050         
T5.2_screen_expt	 H16	Assay	Unknown	Un_0248 1/1	620       	0.058	4.490         
T5.2_screen_expt	 I16	Assay	Unknown	Un_0249 1/1	620       	0.144	5.350         
T5.2_screen_expt	 J16	Assay	Unknown	Un_0250 1/1	620       	0.138	5.790         
T5.2_screen_expt	 K16	Assay	Unknown	Un_0251 1/1	620       	0.134	6.650         
T5.2_screen_expt	 L16	Assay	Unknown	Un_0252 1/1	620       	0.126	7.090         
T5.2_screen_expt	 M16	Assay	Unknown	Un_0253 1/1	620       	0.120	7.950         
T5.2_screen_expt	 N16	Assay	Unknown	Un_0254 1/1	620       	0.118	8.400         
T5.2_screen_expt	 O16	Assay	Unknown	Un_0255 1/1	620       	0.129	9.250         
T5.2_screen_expt	 P16	Assay	Unknown	Un_0256 1/1	620       	0.038	9.700         
T5.2_screen_expt	 A17	Assay	Unknown	Un_0257 1/1	620       	0.037	0.170         
T5.2_screen_expt	 B17	Assay	Unknown	Un_0258 1/1	620       	0.140	0.590         
T5.2_screen_expt	 C17	Assay	Unknown	Un_0259 1/1	620       	0.116	1.460         
T5.2_screen_expt	 D17	Assay	Unknown	Un_0260 1/1	620       	0.125	1.880         
T5.2_screen_expt	 E17	Assay	Unknown	Un_0261 1/1	620       	0.120	2.760         
T5.2_screen_expt	 F17	Assay	Unknown	Un_0262 1/1	620       	0.087	3.190         
T5.2_screen_expt	 G17	Assay	Unknown	Un_0263 1/1	620       	0.103	4.060         
T5.2_screen_expt	 H17	Assay	Unknown	Un_0264 1/1	620       	0.067	4.480         
T5.2_screen_expt	 I17	Assay	Unknown	Un_0265 1/1	620       	0.144	5.360         
T5.2_screen_expt	 J17	Assay	Unknown	Un_0266 1/1	620       	0.137	5.780         
T5.2_screen_expt	 K17	Assay	Unknown	Un_0267 1/1	620       	0.135	6.660         
T5.2_screen_expt	 L17	Assay	Unknown	Un_0268 1/1	620       	0.127	7.080         
T5.2_screen_expt	 M17	Assay	Unknown	Un_0269 1/1	620       	0.122	7.960         
T5.2_screen_expt	 N17	Assay	Unknown	Un_0270 1/1	620       	0.119	8.390         
T5.2_screen_expt	 O17	Assay	Unknown	Un_0271 1/1	620       	0.130	9.260         
T5.2_screen_expt	 P17	Assay	Unknown	Un_0272 1/1	620       	0.038	9.690         
T5.2_screen_expt	 A18	Assay	Unknown	Un_0273 1/1	620       	0.041	0.180         
T5.2_screen_expt	 B18	Assay	Unknown	Un_0274 1/1	620       	0.144	0.580         
T5.2_screen_expt	 C18	Assay	Unknown	Un_0275 1/1	620       	0.131	1.470         
T5.2_screen_expt	 D18	Assay	Unknown	Un_0276 1/1	620       	0.126	1.870         
T5.2_screen_expt	 E18	Assay	Unknown	Un_0277 1/1	620       	0.112	2.770         
T5.2_screen_expt	 F18	Assay	Unknown	Un_0278 1/1	620       	0.083	3.180         
T5.2_screen_expt	 G18	Assay	Unknown	Un_0279 1/1	620       	0.125	4.070         
T5.2_screen_expt	 H18	Assay	Unknown	Un_0280 1/1	620       	0.115	4.470         
T5.2_screen_expt	 I18	Assay	Unknown	Un_0281 1/1	620       	0.142	5.370         
T5.2_screen_expt	 J18	Assay	Unknown	Un_0282 1/1	620       	0.134	5.770         
T5.2_screen_expt	 K18	Assay	Unknown	Un_0283 1/1	620       	0.130	6.670         
T5.2_screen_expt	 L18	Assay	Unknown	Un_0284 1/1	620       	0.127	7.070         
T5.2_screen_expt	 M18	Assay	Unknown	Un_0285 1/1	620       	0.118	7.970         
T5.2_screen_expt	 N18	Assay	Unknown	Un_0286 1/1	620       	0.114	8.380         
T5.2_screen_expt	 O18	Assay	Unknown	Un_0287 1/1	620       	0.130	9.270         
T5.2_screen_expt	 P18	Assay	Unknown	Un_0288 1/1	620       	0.038	9.680         
T5.2_screen_expt	 A19	Assay	Unknown	Un_0289 1/1	620       	0.038	0.190         
T5.2_screen_expt	 B19	Assay	Unknown	Un_0290 1/1	620       	0.141	0.570         
T5.2_screen_expt	 C19	Assay	Unknown	Un_0291 1/1	620       	0.136	1.480         
T5.2_screen_expt	 D19	Assay	Unknown	Un_0292 1/1	620       	0.140	1.860         
T5.2_screen_expt	 E19	Assay	Unknown	Un_0293 1/1	620       	0.133	2.780         
T5.2_screen_expt	 F19	Assay	Unknown	Un_0294 1/1	620       	0.130	3.160         
T5.2_screen_expt	 G19	Assay	Unknown	Un_0295 1/1	620       	0.135	4.080         
T5.2_screen_expt	 H19	Assay	Unknown	Un_0296 1/1	620       	0.136	4.460         
T5.2_screen_expt	 I19	Assay	Unknown	Un_0297 1/1	620       	0.132	5.380         
T5.2_screen_expt	 J19	Assay	Unknown	Un_0298 1/1	620       	0.133	5.760         
T5.2_screen_expt	 K19	Assay	Unknown	Un_0299 1/1	620       	0.126	6.680         
T5.2_screen_expt	 L19	Assay	Unknown	Un_0300 1/1	620       	0.125	7.060         
T5.2_screen_expt	 M19	Assay	Unknown	Un_0301 1/1	620       	0.125	7.980         
