"well" "media" "inoc" "row" "col"
"289" "A19" "B" FALSE 1 "19"
"290" "B19" "A08" TRUE 2 "19"
"291" "C19" "B07" TRUE 3 "19"
"292" "D19" "B08" TRUE 4 "19"
"293" "E19" "C07" TRUE 5 "19"
"294" "F19" "C08" TRUE 6 "19"
"295" "G19" "D07" TRUE 7 "19"
"296" "H19" "D08" TRUE 8 "19"
"297" "I19" "E07" TRUE 9 "19"
"298" "J19" "E08" TRUE 10 "19"
"299" "K19" "F07" TRUE 11 "19"
"300" "L19" "F08" TRUE 12 "19"
"301" "M19" "G07" TRUE 13 "19"
"302" "N19" "G08" TRUE 14 "19"
"303" "O19" "H07" TRUE 15 "19"
"304" "P19" "B" FALSE 16 "19"
"305" "A20" "B" FALSE 1 "20"
"306" "B20" "A02" TRUE 2 "20"
"307" "C20" "B01" TRUE 3 "20"
"308" "D20" "B02" TRUE 4 "20"
"309" "E20" "C01" TRUE 5 "20"
"310" "F20" "C02" TRUE 6 "20"
"311" "G20" "D01" TRUE 7 "20"
"312" "H20" "D02" TRUE 8 "20"
"313" "I20" "E01" TRUE 9 "20"
"314" "J20" "E02" TRUE 10 "20"
"315" "K20" "F01" TRUE 11 "20"
"316" "L20" "F02" TRUE 12 "20"
"317" "M20" "G01" TRUE 13 "20"
"318" "N20" "G02" TRUE 14 "20"
"319" "O20" "H01" TRUE 15 "20"
"320" "P20" "B" FALSE 16 "20"
"321" "A21" "B" FALSE 1 "21"
"322" "B21" "A10" TRUE 2 "21"
"323" "C21" "B09" TRUE 3 "21"
"324" "D21" "B10" TRUE 4 "21"
"325" "E21" "C09" TRUE 5 "21"
"326" "F21" "C10" TRUE 6 "21"
"327" "G21" "D09" TRUE 7 "21"
"328" "H21" "D10" TRUE 8 "21"
"329" "I21" "E09" TRUE 9 "21"
"330" "J21" "E10" TRUE 10 "21"
"331" "K21" "F09" TRUE 11 "21"
"332" "L21" "F10" TRUE 12 "21"
"333" "M21" "G09" TRUE 13 "21"
"334" "N21" "G10" TRUE 14 "21"
"335" "O21" "H09" TRUE 15 "21"
"336" "P21" "B" FALSE 16 "21"
"337" "A22" "B" FALSE 1 "22"
"338" "B22" "A12" TRUE 2 "22"
"339" "C22" "B11" TRUE 3 "22"
"340" "D22" "B12" TRUE 4 "22"
"341" "E22" "C11" TRUE 5 "22"
"342" "F22" "C12" TRUE 6 "22"
"343" "G22" "D11" TRUE 7 "22"
"344" "H22" "D12" TRUE 8 "22"
"345" "I22" "E11" TRUE 9 "22"
"346" "J22" "E12" TRUE 10 "22"
"347" "K22" "F11" TRUE 11 "22"
"348" "L22" "F12" TRUE 12 "22"
"349" "M22" "G11" TRUE 13 "22"
"350" "N22" "G12" TRUE 14 "22"
"351" "O22" "H11" TRUE 15 "22"
"352" "P22" "B" FALSE 16 "22"
"353" "A23" "B" FALSE 1 "23"
"354" "B23" "A08" TRUE 2 "23"
"355" "C23" "B07" TRUE 3 "23"
"356" "D23" "B08" TRUE 4 "23"
"357" "E23" "C07" TRUE 5 "23"
"358" "F23" "C08" TRUE 6 "23"
"359" "G23" "D07" TRUE 7 "23"
"360" "H23" "D08" TRUE 8 "23"
"361" "I23" "E07" TRUE 9 "23"
"362" "J23" "E08" TRUE 10 "23"
"363" "K23" "F07" TRUE 11 "23"
"364" "L23" "F08" TRUE 12 "23"
"365" "M23" "G07" TRUE 13 "23"
"366" "N23" "G08" TRUE 14 "23"
"367" "O23" "H07" TRUE 15 "23"
"368" "P23" "B" FALSE 16 "23"
"369" "A24" "M9g" FALSE 1 "24"
"370" "B24" "M9g" FALSE 2 "24"
"371" "C24" "M9g" FALSE 3 "24"
"372" "D24" "M9g" FALSE 4 "24"
"373" "E24" "M9g" FALSE 5 "24"
"374" "F24" "M9g" FALSE 6 "24"
"375" "G24" "M9g" FALSE 7 "24"
"376" "H24" "M9g" FALSE 8 "24"
"377" "I24" "M9g" FALSE 9 "24"
"378" "J24" "M9g" FALSE 10 "24"
"379" "K24" "M9g" FALSE 11 "24"
"380" "L24" "M9g" FALSE 12 "24"
"381" "M24" "M9g" FALSE 13 "24"
"382" "N24" "M9g" FALSE 14 "24"
"383" "O24" "M9g" FALSE 15 "24"
"384" "P24" "M9g" FALSE 16 "24"
