Transfer,estimate_Intercept,estimate_Slope,p.value_Intercept,p.value_Slope
1,-0.0534980409234202,0.882473483182532,0.000632163163493724,2.02780248873864e-14
1,-0.0478860182852442,0.799067679568813,0.00370537809397842,5.80638621952057e-12
1,-0.0523399017880633,0.833110571290877,0.00168660764387201,1.01839297665901e-12
1,-0.0477509627649844,0.822165996246486,0.00272146413986719,6.49698639656637e-13
1,-0.0441329666927722,0.779053551015934,0.00812056534152245,2.48194244450769e-11
1,-0.0569984351972092,0.966481415828226,0.000162038206239437,2.91125278550182e-16
1,-0.0473741065444687,0.807443786655623,0.00391101627184037,3.89458864911604e-12
1,-0.0477977565368312,0.804616904980472,0.00513617053190027,9.18346785962655e-12
1,-0.0550768017137151,0.905110597060277,0.000357858624880651,3.75933857575001e-15
1,-0.0543303984504729,0.90917103437608,0.000457191698906964,1.37703756092114e-14
1,-0.049785583617413,0.853979468658475,0.000900682276142123,1.07413672462948e-14
1,-0.0487205194346038,0.821788911990072,0.00207620419022597,1.04041820723714e-12
1,-0.0457948699090338,0.801004394844457,0.00336067912202519,1.25660886759854e-12
1,-0.056413561012746,0.873418655757402,0.000970093807623701,5.76251459537463e-13
1,-0.0484941048618931,0.811125333301167,0.00298583567084219,1.51318002914702e-12
1,-0.0551377538630376,0.8846091511048,0.000810832450970812,1.29262077731518e-13
1,-0.0520102275962093,0.838926200000086,0.00146340459637158,3.12269156655685e-13
1,-0.0522074515561566,0.849532428723525,0.00112920265826911,2.19702903721085e-13
1,-0.0473310904810184,0.832506245282207,0.00232027882856014,3.00723036676333e-13
1,-0.0527151588357025,0.870260321500686,0.00121378166499801,2.8268451704136e-13
1,-0.0505358240565851,0.81586799723164,0.00266802963523695,5.92621269700484e-12
1,-0.0546397314908349,0.882983908513953,0.000427166787962053,8.90084224658561e-15
1,-0.0585413227601239,0.927423690515441,0.000270575357614074,5.26683926351367e-15
1,-0.0556314496773632,0.866760899170808,0.000969109340768309,2.95703280575486e-13
1,-0.0446318545047595,0.763212712228692,0.00610287634646373,1.66075966186337e-11
1,-0.0560778482645313,0.900289890152449,0.000419211620610144,1.68915626756772e-14
1,-0.0549844894200257,0.882875171598363,0.000540275450629371,3.90034341040893e-14
1,-0.0486006547629694,0.799831628982225,0.00353068438868773,6.8639157642673e-12
1,-0.0542622246027027,0.854184557598759,0.00118672495917904,4.11668805820246e-13
1,-0.0585504317551014,0.940906774558985,0.00026084094898323,8.7224666364487e-15
1,-0.0477190619735374,0.852909778256213,0.00174196594526932,4.3686140937399e-14
1,-0.0563403589302826,0.908831545321166,0.000195386152916361,2.15450691614557e-15
1,-0.0490715729776399,0.84011208559385,0.00221117377427912,3.5692147814205e-13
1,-0.0456541097849968,0.781976164892987,0.00743401380444692,2.16432440494644e-11
1,-0.0502227146593291,0.848274192418465,0.0016001640573894,2.96442533901841e-13
1,-0.0566975664403279,0.932390926014841,0.00029505669309577,2.2255975265659e-15
1,-0.0595242948552698,0.941639069259648,0.000218106633795492,5.61584683595637e-15
1,-0.0459150662930025,0.802602786912944,0.00571678328376391,6.39809490644584e-12
1,-0.0479930015997857,0.806371461511091,0.00436760849422566,8.14512831521155e-12
1,-0.0460788188817822,0.843076585023851,0.00192272622343721,5.45427566575653e-14
1,-0.0475704891623738,0.806710569793864,0.00354409903789235,2.6833188394602e-12
1,-0.0575332022308797,0.906553893737041,0.000211535009564785,3.52841804602206e-15
1,-0.0489091090185198,0.816909675335691,0.00186387914139008,3.85253464070951e-13
1,-0.0485388018072332,0.781594851321877,0.00449481478083777,1.98841318597739e-11
1,-0.054552528057367,0.866119201692574,0.000662011591218499,6.38154472415122e-14
1,-0.0608937008431573,0.981339584852669,0.000118717213498878,5.47101899165142e-16
1,-0.0574394814960267,0.910761334966485,0.000324311718123738,1.76941400247415e-14
