Transfer,Offspring,OffspringFunction,OffspringFunctionSe,Parent,ParentFunction,ParentFunctionSe,Origin
1,F07,0.0177501664078101,0.00256201583842745,E10,0.149305555555556,0.0608382481525529,
1,F08,0.0133126248058576,0,E10,0.149305555555556,0.0608382481525529,
1,F09,0.0207085274757784,0.00147918053398417,H05,0.0850694444444445,0.0105603516151011,
1,F10,0.0177501664078101,0.00256201583842745,H05,0.0850694444444445,0.0105603516151011,
1,F11,0.0177501664078101,0,H05,0.0850694444444445,0.0105603516151011,
1,F12,0.0207085274757784,0.00147918053398417,H05,0.0850694444444445,0.0105603516151011,
1,G01,0.0251460690777309,0.00147918053398417,F08,0.046875,0,
1,G02,0.0236668885437468,0.00147918053398417,F08,0.046875,0,
1,G03,0.0266252496117151,0,F08,0.046875,0,
1,G04,0.0177501664078101,0.00256201583842745,F08,0.046875,0,
1,G05,0.034021152281636,0.00823572866330896,A11,0.140625,0.0390914244763809,
1,G06,0.0221877080097626,0.00256201583842745,A11,0.140625,0.0390914244763809,
1,G07,0.0162709858738259,0.00147918053398417,A11,0.140625,0.0390914244763809,
1,G08,0.0207085274757784,0.00147918053398417,A11,0.140625,0.0390914244763809,
1,G09,0.0207085274757784,0.00147918053398417,D12,0.0763888888888889,0.0181255321335253,
1,G10,0.0207085274757784,0.00147918053398417,D12,0.0763888888888889,0.0181255321335253,
1,G11,0.0207085274757784,0.00147918053398417,D12,0.0763888888888889,0.0181255321335253,
1,G12,0.0221877080097626,0,D12,0.0763888888888889,0.0181255321335253,
1,H01,0.0680423045632719,0.00591672213593669,C08,0.0677083333333333,0.0208333333333333,
1,H02,0.0473337770874935,0.00147918053398417,C08,0.0677083333333333,0.0208333333333333,
1,H03,0.0724798461652245,0.0126381240223616,C08,0.0677083333333333,0.0208333333333333,
1,H04,0.0532504992234302,0.00256201583842745,C08,0.0677083333333333,0.0208333333333333,
1,H05,0.0502921381554619,0.0141104829734035,F10,0.119791666666667,0.0159117211630411,
1,H06,0.0162709858738259,0.00147918053398417,F10,0.119791666666667,0.0159117211630411,
1,H07,0.0192293469417942,0.00147918053398417,F10,0.119791666666667,0.0159117211630411,
1,H08,0.0177501664078101,0,F10,0.119791666666667,0.0159117211630411,
2,A01,0.483625590519657,0.00423693059662836,E04,0.533984172768286,0.00782708767417968,B01
2,A02,0.549283369365041,0.0335532498034382,E04,0.533984172768286,0.00782708767417968,B01
2,A03,0.46280727039795,0.0112098646809192,E04,0.533984172768286,0.00782708767417968,B01
2,A04,0.48682840899992,0.00891626929750984,E04,0.533984172768286,0.00782708767417968,B01
2,A05,0.0384338217631516,0.00277372216761771,H03,0.0724798461652245,0.0126381240223616,
2,A06,0.0448394587236768,0.00320281848026263,H03,0.0724798461652245,0.0126381240223616,
2,A07,0.0368324125230203,0.00423693059662838,H03,0.0724798461652245,0.0126381240223616,
2,A08,0.0400352310032829,0.00160140924013131,H03,0.0724798461652245,0.0126381240223616,
2,A09,0.0352310032828889,0.00640563696052526,C11,0.0325419717476518,0.00147918053398417,
2,A10,0.0224197293618384,0.00320281848026263,C11,0.0325419717476518,0.00147918053398417,
2,A11,0.0208183201217071,0.00423693059662838,C11,0.0325419717476518,0.00147918053398417,
2,A12,0.0176155016414445,0.00160140924013132,C11,0.0325419717476518,0.00147918053398417,
2,B01,0.52366082152294,0.0227038944331137,E03,0.491087937282745,0.00823572866330898,B01
