Transfer,Offspring,OffspringFunction,MeasurementReplicate,Parent,ParentFunction,Origin
1,D03,0.483692034612825,3,D01,0.348958333333333,D01
1,D04,0.0931883736410029,1,D01,0.348958333333333,D01
1,D04,0.204126913689816,2,D01,0.338541666666667,D01
1,D04,0.257377412913246,3,D01,0.348958333333333,D01
1,G09,0.0221877080097626,1,D12,0.046875,
1,G09,0.0177501664078101,2,D12,0.0729166666666667,
1,G09,0.0221877080097626,3,D12,0.109375,
1,G10,0.0221877080097626,1,D12,0.046875,
1,G10,0.0177501664078101,2,D12,0.0729166666666667,
1,G10,0.0221877080097626,3,D12,0.109375,
1,G11,0.0221877080097626,1,D12,0.046875,
1,G11,0.0177501664078101,2,D12,0.0729166666666667,
1,G11,0.0221877080097626,3,D12,0.109375,
1,G12,0.0221877080097626,1,D12,0.046875,
1,G12,0.0221877080097626,2,D12,0.0729166666666667,
1,G12,0.0221877080097626,3,D12,0.109375,
1,F05,0.0133126248058576,1,E10,0.270833333333333,
1,F05,0.0177501664078101,2,E10,0.09375,
1,F05,0.0133126248058576,3,E10,0.0833333333333333,
1,F06,0.00887508320390504,1,E10,0.270833333333333,
1,F06,0.0133126248058576,2,E10,0.09375,
1,F06,0.0177501664078101,3,E10,0.0833333333333333,
1,F07,0.0221877080097626,1,E10,0.270833333333333,
1,F07,0.0133126248058576,2,E10,0.09375,
1,F07,0.0177501664078101,3,E10,0.0833333333333333,
1,F08,0.0133126248058576,1,E10,0.270833333333333,
1,F08,0.0133126248058576,2,E10,0.09375,
1,F08,0.0133126248058576,3,E10,0.0833333333333333,
1,F01,0.0221877080097626,1,E11,0.0364583333333333,
1,F01,0.0221877080097626,2,E11,0.0416666666666667,
1,F02,0.0843132904370978,1,E11,0.0364583333333333,
1,F02,0.0221877080097626,2,E11,0.0416666666666667,
1,F03,0.0133126248058576,1,E11,0.0364583333333333,
1,F03,0.0133126248058576,2,E11,0.0416666666666667,
1,F04,0.0177501664078101,1,E11,0.0364583333333333,
1,F04,0.0221877080097626,2,E11,0.0416666666666667,
1,A09,0.0177501664078101,1,E12,0.078125,
1,A09,0.0177501664078101,2,E12,0.114583333333333,
1,A09,0.0177501664078101,3,E12,0.15625,
1,A10,0.0177501664078101,1,E12,0.078125,
1,A10,0.0177501664078101,2,E12,0.114583333333333,
1,A10,0.0488129576214777,3,E12,0.15625,
1,A11,0.0177501664078101,1,E12,0.078125,
1,A11,0.0177501664078101,2,E12,0.114583333333333,
1,A11,0.0221877080097626,3,E12,0.15625,
1,A12,0.0177501664078101,1,E12,0.078125,
1,A12,0.0221877080097626,2,E12,0.114583333333333,
1,A12,0.0177501664078101,3,E12,0.15625,
1,G01,0.0266252496117151,1,F08,0.046875,
1,G01,0.0266252496117151,2,F08,0.046875,
1,G02,0.0266252496117151,1,F08,0.046875,
1,G02,0.0221877080097626,2,F08,0.046875,
1,G03,0.0266252496117151,1,F08,0.046875,
1,G03,0.0266252496117151,2,F08,0.046875,
1,G04,0.0133126248058576,1,F08,0.046875,
1,G04,0.0177501664078101,2,F08,0.046875,
1,H05,0.0221877080097626,1,F10,0.0885416666666667,
1,H05,0.0665631240292878,2,F10,0.140625,
1,H05,0.0621255824273353,3,F10,0.130208333333333,
1,H06,0.0177501664078101,1,F10,0.0885416666666667,
1,H06,0.0133126248058576,2,F10,0.140625,
1,H06,0.0177501664078101,3,F10,0.130208333333333,
1,H07,0.0177501664078101,1,F10,0.0885416666666667,
1,H07,0.0177501664078101,2,F10,0.140625,
1,H07,0.0221877080097626,3,F10,0.130208333333333,
1,H08,0.0177501664078101,1,F10,0.0885416666666667,
1,H08,0.0177501664078101,2,F10,0.140625,
1,H08,0.0177501664078101,3,F10,0.130208333333333,
1,D05,0.0177501664078101,1,F12,0.130208333333333,
1,D05,0.0177501664078101,2,F12,0.192708333333333,
1,D05,0.0221877080097626,3,F12,0.197916666666667,
1,D06,0.0355003328156202,1,F12,0.130208333333333,
1,D06,0.0221877080097626,2,F12,0.192708333333333,
1,D06,0.0221877080097626,3,F12,0.197916666666667,
1,D07,0.0177501664078101,1,F12,0.130208333333333,
1,D07,0.0221877080097626,2,F12,0.192708333333333,
1,D07,0.0221877080097626,3,F12,0.197916666666667,
1,D08,0.0177501664078101,1,F12,0.130208333333333,
1,D08,0.0177501664078101,2,F12,0.192708333333333,
1,D08,0.0221877080097626,3,F12,0.197916666666667,
1,C01,0.0221877080097626,1,G07,0.0729166666666667,
1,C01,0.0221877080097626,2,G07,0.0885416666666667,
1,C02,0.0221877080097626,1,G07,0.0729166666666667,
1,C02,0.0221877080097626,2,G07,0.0885416666666667,
1,C03,0.0177501664078101,1,G07,0.0729166666666667,
1,C03,0.0221877080097626,2,G07,0.0885416666666667,
1,C04,0.0221877080097626,1,G07,0.0729166666666667,
1,C04,0.0221877080097626,2,G07,0.0885416666666667,
1,B05,0.0221877080097626,1,G09,0.0729166666666667,
1,B05,0.0221877080097626,2,G09,0.104166666666667,
1,B06,0.0177501664078101,1,G09,0.0729166666666667,
1,B06,0.0177501664078101,2,G09,0.104166666666667,
1,B07,0.0221877080097626,1,G09,0.0729166666666667,
1,B07,0.0221877080097626,2,G09,0.104166666666667,
1,B08,0.0221877080097626,1,G09,0.0729166666666667,
1,B08,0.0221877080097626,2,G09,0.104166666666667,
1,C05,0.0133126248058576,1,G10,0.166666666666667,
1,C05,0.0133126248058576,2,G10,0.244791666666667,
1,C05,0.0133126248058576,3,G10,0.229166666666667,
1,C06,0.00887508320390504,1,G10,0.166666666666667,
1,C06,0.0133126248058576,2,G10,0.244791666666667,
1,C06,0.0133126248058576,3,G10,0.229166666666667,
1,C07,0.0177501664078101,1,G10,0.166666666666667,
1,C07,0.0177501664078101,2,G10,0.244791666666667,
1,C07,0.0133126248058576,3,G10,0.229166666666667,
1,C08,0.0133126248058576,1,G10,0.166666666666667,
1,C08,0.0133126248058576,2,G10,0.244791666666667,
1,C08,0.0133126248058576,3,G10,0.229166666666667,
1,A05,0.0177501664078101,1,G12,0.213541666666667,
1,A05,0.0177501664078101,2,G12,0.276041666666667,
1,A05,0.0177501664078101,3,G12,0.291666666666667,
1,A06,0.0177501664078101,1,G12,0.213541666666667,
1,A06,0.0221877080097626,2,G12,0.276041666666667,
1,A06,0.0221877080097626,3,G12,0.291666666666667,
1,A07,0.0177501664078101,1,G12,0.213541666666667,
1,A07,0.0177501664078101,2,G12,0.276041666666667,
1,A07,0.0177501664078101,3,G12,0.291666666666667,
1,A08,0.0221877080097626,1,G12,0.213541666666667,
1,A08,0.0221877080097626,2,G12,0.276041666666667,
1,A08,0.0221877080097626,3,G12,0.291666666666667,
1,C09,0.0310627912136676,1,H01,0.166666666666667,
1,C09,0.0310627912136676,2,H01,0.0572916666666667,
1,C09,0.0355003328156202,3,H01,0.0625,
1,C10,0.0310627912136676,1,H01,0.166666666666667,
1,C10,0.0310627912136676,2,H01,0.0572916666666667,
1,C10,0.0310627912136676,3,H01,0.0625,
1,C11,0.0310627912136676,1,H01,0.166666666666667,
1,C11,0.0310627912136676,2,H01,0.0572916666666667,
1,C11,0.0355003328156202,3,H01,0.0625,
1,C12,0.0355003328156202,1,H01,0.166666666666667,
1,C12,0.0310627912136676,2,H01,0.0572916666666667,
1,C12,0.0310627912136676,3,H01,0.0625,
1,F09,0.0221877080097626,1,H05,0.0677083333333333,
1,F09,0.0177501664078101,2,H05,0.0833333333333333,
1,F09,0.0221877080097626,3,H05,0.104166666666667,
1,F10,0.0177501664078101,1,H05,0.0677083333333333,
1,F10,0.0133126248058576,2,H05,0.0833333333333333,
1,F10,0.0221877080097626,3,H05,0.104166666666667,
1,F11,0.0177501664078101,1,H05,0.0677083333333333,
1,F11,0.0177501664078101,2,H05,0.0833333333333333,
1,F11,0.0177501664078101,3,H05,0.104166666666667,
1,F12,0.0221877080097626,1,H05,0.0677083333333333,
1,F12,0.0177501664078101,2,H05,0.0833333333333333,
1,F12,0.0221877080097626,3,H05,0.104166666666667,
1,B09,0.0221877080097626,1,H07,0.0989583333333333,
1,B09,0.0221877080097626,2,H07,0.109375,
