Transfer,Experiment,Media,MeanFunction,SdFunction,SeFunction
1,ctrl,C09,0.0409242900633827,0.0124669321722781,0.00719778664563356
1,ctrl,C10,0.0309427559015821,0.0150717860663188,0.00870169974255762
1,ctrl,C11,0.0389279832310226,0.00598892049708037,0.00345770486114462
1,ctrl,C12,0.0429205968957429,0.00345770486114464,0.00199630683236013
1,ctrl,D01,0.0628836652193442,0.0625261656470163,0.0360994985677
1,ctrl,D02,0.0928282677047462,0.0783152976830185,0.0452153581989564
1,ctrl,D03,0.0389279832310226,0,0
1,ctrl,D04,0.0568947447222638,0.0311193437503017,0.0179667614912412
1,ctrl,D05,0.0419224434795628,0.00423480629547266,0.0029944602485402
1,ctrl,D06,0.0509058242251834,0.0059889204970804,0.00345770486114464
1,ctrl,D07,0.0429205968957429,0.0124669321722781,0.00719778664563354
1,ctrl,D08,0.0509058242251834,0.0103731145834339,0.0059889204970804
1,ctrl,D09,0.028946449069222,0.0124669321722781,0.00719778664563356
1,ctrl,D10,0.058891051554624,0.00914822716964783,0.00528173141900403
1,ctrl,D11,0.0349353695663024,0.0034577048611446,0.00199630683236011
1,ctrl,D12,0.044916903728103,0,0
1,ctrl,E01,0.29844787143784,0.217368389899745,0.125497698421933
1,ctrl,E02,0.100813495034187,0.0714499382868624,0.0412516411035022
1,ctrl,E03,0.0409242900633827,0.00345770486114464,0.00199630683236013
1,ctrl,E04,0.0489095173928233,0.00691540972228928,0.00399261366472027
1,ctrl,E05,0.0389279832310226,0,0
1,ctrl,E06,0.0489095173928233,0.00345770486114464,0.00199630683236014
1,ctrl,E07,0.0469132105604632,0.012466932172278,0.00719778664563354
1,ctrl,E08,0.0668762788840645,0.00345770486114464,0.00199630683236013
1,ctrl,E09,0.0429205968957429,0.00691540972228928,0.00399261366472027
1,ctrl,E10,0.0369316763986625,0.0034577048611446,0.00199630683236011
1,ctrl,E11,0.0409242900633827,0.00345770486114464,0.00199630683236013
1,ctrl,E12,0.0529021310575435,0.0192516859030652,0.0111149660384888
1,ctrl,F01,0.0828467335429455,0.0502260642827135,0.0289980317339601
1,ctrl,F02,0.0908319608723861,0.0640375901875348,0.0369721199330282
1,ctrl,F03,0.044916903728103,0,0
1,ctrl,F04,0.0509058242251834,0.0059889204970804,0.00345770486114464
1,ctrl,F05,0.0389279832310226,0,0
1,ctrl,F06,0.0489095173928233,0.00691540972228928,0.00399261366472027
1,ctrl,F07,0.0409242900633827,0.00345770486114464,0.00199630683236013
1,ctrl,F08,0.0349353695663024,0.0034577048611446,0.00199630683236011
1,ctrl,F09,0.0389279832310226,0.00846961259094528,0.00598892049708037
1,ctrl,F10,0.108798722363627,0.0424889886785302,0.0245310290511444
1,ctrl,F11,0.0389279832310226,0.00598892049708037,0.00345770486114462
1,ctrl,F12,0.0588910515546239,0.0242039340280125,0.0139741478265209
1,ctrl,G01,0.0688725857164246,0.0261050992276728,0.0150717860663188
1,ctrl,G02,0.0548984378899037,0.00914822716964783,0.00528173141900403
1,ctrl,G03,0.0489095173928233,0.00691540972228928,0.00399261366472027
1,ctrl,G04,0.0409242900633827,0.00345770486114464,0.00199630683236013
1,ctrl,G05,0.044916903728103,0.0119778409941608,0.00691540972228926
1,ctrl,G06,0.044916903728103,0,0
1,ctrl,G07,0.0389279832310226,0.00598892049708037,0.00345770486114462
1,ctrl,G08,0.0529021310575436,0.0295426432838224,0.0170564530524879
1,ctrl,G09,0.0349353695663024,0.0034577048611446,0.00199630683236011
1,ctrl,G10,0.0369316763986625,0.0150717860663188,0.00870169974255762
1,ctrl,G11,0.0429205968957429,0.00345770486114464,0.00199630683236013
1,ctrl,G12,0.0648799720517043,0.0249338643445562,0.0143955732912671
1,ctrl,H01,0.0548984378899037,0.0420647951404012,0.0242861207977171
1,ctrl,H02,0.0529021310575435,0.00345770486114464,0.00199630683236013
1,ctrl,H03,0.0389279832310226,0,0
1,ctrl,H04,0.0429205968957429,0.00691540972228928,0.00399261366472027
1,ctrl,H05,0.0788541198782253,0.0640375901875348,0.0369721199330282
1,ctrl,H06,0.044916903728103,0,0
